,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
55,4,2,43,11,6,2,0,26,4
56,17,0,75,39,42,26,17,64,22
57,3,0,20,14,0,65,0,31,3
58,6,28,26,2,7,0,6,26,5
59,0,2,22,0,18,43,11,25,15
60,1,7,11,0,4,70,31,9,2
61,5,7,19,2,20,26,1,33,8
62,7,6,41,17,3,3,0,12,19
63,2,1,27,17,9,9,0,42,1
64,24,12,35,12,10,7,2,35,2
65,9,11,106,16,27,3,153,47,16
66,5,1,30,15,11,17,0,16,24
67,5,21,46,0,10,54,0,8,25
68,0,0,32,7,15,3,2,38,44
69,7,1,16,3,46,3,116,26,186
70,2,0,51,3,82,15,15,28,352
71,2,16,40,10,5,4,1,19,56
72,0,1,17,1,2,6,0,92,1
73,5,3,38,5,10,54,52,27,37
74,18,42,26,1,23,32,16,10,9
75,2,0,2,8,42,72,0,0,1
76,11,0,22,21,3,2,16,8,32
77,4,1,13,10,18,8,24,66,5
78,10,0,29,25,3,8,0,27,9
79,45,2,11,12,4,8,0,39,5
80,0,10,113,2,39,25,1,73,41
81,2,3,100,6,38,8,0,115,208
82,9,36,61,1,24,16,130,91,10
83,3,4,14,9,1,96,1,31,7
84,36,28,274,181,78,350,123,178,120
85,10,12,40,4,4,17,0,54,0
86,11,18,17,2,10,8,13,12,11
87,4,1,43,23,7,37,4,8,4
88,7,1,51,95,12,16,1,2,55
89,13,4,80,15,2,8,1,21,0
90,7,0,189,76,5,51,1,113,10
91,3,1,88,3,76,67,11,96,6
92,12,23,19,2,17,6,1,15,4
93,4,3,79,7,4,93,5,40,35
94,1,7,61,0,4,90,3,21,20
95,3,15,55,7,40,151,146,28,260
96,32,1,70,4,83,20,1,5,4
97,9,2,55,1,5,41,1,11,14
98,3,1,42,11,10,26,0,31,10
99,9,7,69,24,34,201,66,67,17
100,8,41,49,1,103,11,0,28,15
101,1,1,40,7,11,29,0,5,7
102,3,0,52,6,5,12,0,33,2
103,12,4,30,11,2,11,0,37,3
104,1,0,25,3,25,23,15,8,2
105,2,22,29,7,3,4,48,44,3
106,58,6,65,20,8,88,43,61,38
107,8,18,76,16,3,7,0,25,3
108,6,3,46,42,3,4,8,33,0
109,5,0,33,12,1,23,0,37,0
110,6,1,62,19,0,46,0,19,3
111,1,0,20,32,10,4,15,49,7
112,7,1,43,66,5,1,5,3,2
113,3,2,62,1,6,11,0,25,14
114,3,5,60,17,5,11,1,37,8
115,23,4,33,55,6,5,0,21,7
116,0,0,33,3,1,37,11,25,2
117,9,18,24,12,7,2,0,7,37
118,1,17,24,1,27,7,18,38,2
119,6,19,137,20,41,52,14,48,15
120,9,3,58,10,23,96,76,60,233
121,1,3,53,3,110,75,88,41,65
122,25,3,43,12,0,3,0,14,8
123,1,0,22,11,14,14,1,14,43
124,4,0,61,20,3,115,0,6,8
125,5,1,8,0,9,51,0,6,39
126,3,58,7,16,0,9,0,39,3
127,6,0,39,3,1,22,1,16,22
128,0,0,25,11,1,28,0,10,17
129,4,2,42,61,11,58,2,14,13
130,13,0,24,0,101,3,0,15,7
131,9,2,29,54,3,5,3,8,2
132,5,1,82,0,0,107,1,33,2
133,3,0,56,2,2,6,0,31,5
134,15,0,42,10,9,8,0,23,3
135,14,0,63,12,5,6,2,9,6
136,1,1,104,4,3,3,9,17,4
137,1,14,48,3,5,33,0,4,42
138,13,2,21,22,168,52,74,123,122
139,4,5,20,1,13,8,20,37,18
140,9,8,27,12,9,5,2,17,5
141,0,0,33,7,3,41,1,4,13
142,4,0,8,57,4,16,5,5,2
143,7,42,28,4,2,17,17,24,24
144,1,70,25,2,1,12,57,20,44
145,8,1,34,10,3,17,14,86,12
146,0,0,24,1,12,25,1,25,22
147,6,1,33,1,2,29,0,28,6
148,10,0,43,33,11,1,3,10,10
149,10,3,95,2,5,6,5,74,6
150,107,34,52,3,62,17,0,33,21
151,3,2,57,10,3,12,0,20,9
152,17,2,53,41,0,29,0,6,5
153,9,21,104,36,33,45,2,29,21
154,4,4,39,8,36,16,55,67,13
155,5,0,51,13,4,52,18,12,16
156,12,3,14,2,16,10,30,38,8
157,4,3,25,11,13,17,0,17,13
158,5,1,30,3,2,33,1,17,13
159,2,2,30,4,13,77,1,10,8
160,11,2,54,7,23,13,0,16,1
161,21,3,33,21,7,8,0,3,2
162,4,0,41,10,15,32,0,11,14
163,7,1,52,27,5,13,4,1,3
164,29,5,84,41,2,36,0,75,10
165,3,6,29,3,3,4,0,63,0
166,3,1,35,82,1,1,0,21,3
167,4,1,19,11,1,50,0,6,13
168,2,2,23,3,13,12,19,34,9
169,4,6,40,37,7,48,2,19,11
170,1,1,52,2,6,53,1,12,10
171,3,7,73,40,8,9,2,94,19
172,0,0,57,11,5,16,19,99,101
173,5,3,35,2,9,35,54,32,58
174,0,22,40,0,1,4,2,59,0
175,5,10,45,7,9,3,1,53,5
176,18,3,40,23,13,38,0,29,12
177,6,1,39,34,2,5,0,5,10
178,7,1,260,5,80,23,14,216,139
179,2,1,44,1,5,111,43,50,9
180,2,4,23,2,21,13,4,149,3
181,2,1,31,17,28,4,0,2,338
182,112,1,46,34,52,9,0,11,5
183,4,0,28,1,6,1,4,83,2
184,29,1,78,13,23,12,74,50,43
185,117,0,287,378,164,393,55,137,538
186,24,12,45,10,5,48,14,58,2
187,3,4,98,7,97,106,7,54,235
188,3,0,20,5,15,41,34,20,141
189,3,37,65,3,1,9,6,78,2
190,4,0,13,8,10,31,13,16,3
191,1,2,64,1,1,41,22,26,38
192,6,0,58,20,0,3,0,3,3
193,9,16,55,11,25,45,23,49,20
194,2,10,24,6,16,3,7,26,9
195,16,17,21,46,2,11,10,10,11
196,9,3,25,5,10,26,1,20,28
197,19,3,42,11,18,8,1,17,10
198,10,0,10,14,1,12,1,66,9
199,1,0,53,7,114,7,7,20,50
200,1,2,35,6,2,19,15,13,16
201,5,3,50,7,4,30,13,48,6
202,9,38,109,8,7,19,0,40,7
203,0,2,20,7,2,4,5,89,5
204,3,16,39,0,4,15,0,45,5
205,1,0,13,10,5,68,78,24,16
206,5,3,42,55,3,40,0,11,10
207,0,1,4,10,1,178,91,11,1
208,2,1,127,48,5,17,7,57,11
209,4,2,33,2,38,37,24,32,4
210,7,23,45,23,20,4,1,29,2
211,3,3,29,3,9,8,54,34,11
212,3,5,77,3,3,41,2,13,17
213,1,8,5,0,0,93,2,2,3
214,4,7,94,21,10,10,2,24,2
215,1,2,68,14,9,67,2,49,29
216,8,7,72,11,10,10,30,19,18
217,4,0,54,0,4,68,9,18,74
218,19,3,53,40,7,2,0,16,0
219,9,9,11,6,7,13,0,29,8
220,9,5,38,16,7,33,0,14,13
221,0,2,32,4,1,43,1,25,24
222,1,1,82,5,17,3,0,58,5
223,4,2,24,4,5,32,1,17,12
224,0,0,38,1,0,17,0,41,5
225,3,10,79,2,14,3,20,36,6
226,15,18,46,7,2,2,4,1,6
227,3,15,39,8,3,20,1,5,7
228,8,1,29,3,5,44,21,14,2
229,3,1,55,28,0,0,33,67,12
230,68,0,9,22,2,0,46,1,6
231,3,41,26,3,10,25,10,19,5
232,4,1,71,9,3,2,0,11,6
233,6,1,21,72,5,3,2,8,17
234,1,0,15,19,24,40,0,24,5
235,41,1,29,9,58,7,1,34,5
236,4,10,43,11,10,19,55,63,26
237,3,1,11,2,3,0,61,15,9
238,5,5,22,5,51,28,64,18,30
239,2,0,14,2,5,42,1,19,33
240,7,8,27,7,7,26,0,13,0
241,60,9,12,13,1,0,0,5,10
242,2,1,95,7,2,19,0,57,19
243,2,0,40,2,46,48,4,23,8
244,6,3,85,45,9,4,4,33,8
245,1,0,42,39,1,2,7,61,3
246,6,16,58,41,17,44,12,178,17
247,5,6,30,7,9,22,2,13,5
248,5,1,28,28,6,2,1,14,23
249,6,4,37,20,13,12,1,81,13
250,6,0,16,8,114,16,0,5,2
251,4,0,25,19,0,1,0,67,6
252,12,0,18,46,4,1,1,34,4
253,6,0,24,23,13,3,0,55,13
254,3,0,50,1,9,25,22,55,173
255,25,2,36,48,14,5,6,18,8
256,5,2,31,10,0,28,18,1,24
257,4,1,33,6,5,7,9,28,7
258,0,0,14,6,5,0,41,30,5
259,6,6,13,7,9,2,55,56,4
260,4,3,36,12,5,43,0,26,17
261,0,0,20,0,5,28,43,1,84
262,1,3,54,1,80,81,25,94,71
263,6,1,10,24,4,36,0,26,3
264,2,16,27,1,26,10,0,9,11
265,14,4,28,6,5,6,1,41,1
266,2,2,16,22,16,10,0,9,42
267,19,4,41,1,162,22,8,109,162
268,4,2,26,11,28,2,5,20,2
269,15,2,33,2,4,46,5,20,9
270,4,6,21,18,2,6,31,56,9
271,6,26,14,0,59,16,4,36,11
272,1,45,36,23,14,3,2,15,18
273,28,10,37,39,7,1,0,5,4
274,11,1,36,29,5,0,0,18,7
275,3,1,24,27,3,30,6,53,3
276,0,0,91,13,6,33,0,17,13
277,3,1,64,1,2,67,0,84,6
278,0,1,25,0,18,14,56,7,151
279,3,2,39,43,3,5,0,13,4
280,5,27,282,42,13,41,11,98,19
281,2,47,63,1,9,32,8,150,6
282,8,1,36,29,0,76,0,11,12
283,7,2,44,23,6,25,7,22,19
284,5,4,30,27,2,6,4,22,6
285,5,29,7,1,21,12,2,7,21
286,2,4,43,16,4,29,0,19,6
287,1,1,17,1,0,3,54,35,49
288,3,1,78,0,5,81,0,11,82
289,2,5,64,22,16,11,59,26,76
290,3,2,54,27,2,2,0,50,3
291,7,11,30,19,55,8,8,11,26
292,9,4,9,0,2,30,9,8,35
293,82,2,537,4,408,69,395,365,834
294,7,3,33,2,3,4,4,60,0
295,10,0,112,69,11,74,1,49,18
296,9,7,73,34,9,52,2,6,12
297,1,1,44,19,2,1,0,40,9
298,5,6,29,8,6,4,0,54,3
299,0,2,29,8,7,28,24,33,7
300,4,3,18,4,75,37,14,31,7
301,5,9,29,1,26,22,0,22,7
302,5,1,62,19,62,25,0,19,2
303,2,0,60,6,9,4,0,10,9
304,3,0,73,35,8,6,1,45,11
305,3,1,19,5,1,100,3,3,5
306,3,3,65,4,36,43,30,91,38
307,1,1,16,9,6,37,0,20,9
308,2,0,31,3,3,39,1,13,14
309,11,6,20,15,4,51,5,3,4
310,3,0,27,45,7,10,42,71,13
311,16,1,40,4,16,15,86,81,10
312,25,6,56,43,5,4,8,60,10
313,4,0,43,5,100,9,4,50,2
314,0,0,8,1,9,163,3,5,0
315,8,4,804,41,92,86,34,566,46
316,0,1,20,3,1,5,35,42,5
317,4,3,48,51,4,0,15,4,1
318,1,5,8,24,8,1,32,21,24
319,4,7,30,0,119,27,41,27,211
320,4,5,31,27,5,9,0,11,3
321,2,0,34,3,6,7,2,47,6
322,1,0,26,4,43,12,7,20,23
323,1,2,92,10,10,15,0,22,13
324,17,2,24,15,9,11,0,17,3
325,1,11,7,15,0,2,0,0,87
326,0,0,21,5,0,22,3,43,18
327,7,0,35,40,11,1,0,6,26
328,2,1,55,30,14,2,0,39,3
329,9,9,39,3,9,8,1,12,16
330,10,1,96,58,4,1,0,7,1
331,6,14,58,13,9,96,1,24,97
332,11,3,14,11,27,19,0,28,11
333,1,1,3,9,2,88,0,1,3
334,6,0,34,8,56,61,0,2,4
335,2,0,36,3,70,13,95,77,128
336,16,18,32,1,26,8,0,13,2
337,11,4,46,14,9,22,22,39,15
338,10,1,8,5,29,48,0,5,4
339,2,1,37,14,6,5,0,36,2
340,25,3,63,30,10,16,0,26,36
341,4,1,18,12,12,1,12,44,14
342,2,0,16,23,15,44,6,86,2
343,3,1,81,0,20,59,1,55,91
344,4,173,87,1,60,1,35,52,121
345,6,0,59,23,11,1,1,15,0
346,3,1,30,5,14,17,0,39,18
347,7,4,40,1,53,36,1,89,6
348,4,4,14,27,3,38,10,22,14
349,24,18,476,84,97,188,62,254,153
350,1,0,28,10,17,6,19,30,27
351,3,7,97,41,9,17,2,20,16
352,3,2,19,11,7,1,42,12,5
353,3,1,53,35,8,45,10,16,14
354,14,5,215,11,293,226,21,147,1119
355,5,2,111,28,24,69,37,24,31
356,3,1,40,9,3,1,0,46,3
357,4,0,19,5,2,56,1,28,4
358,2,0,48,18,4,6,0,18,16
359,24,37,102,4,72,110,18,46,191
360,17,0,55,53,8,5,1,21,3
361,4,4,31,28,4,11,9,30,16
362,16,7,86,22,11,4,0,26,3
363,2,18,29,61,10,2,0,5,4
364,4,5,41,18,18,15,46,32,28
365,2,10,83,3,40,75,0,109,0
366,2,1,54,18,4,14,0,39,1
367,8,1,77,24,2,5,2,3,10
368,6,11,35,19,2,8,2,34,9
369,12,3,23,10,2,13,0,30,4
370,11,5,56,9,6,7,7,13,13
371,11,3,42,38,68,13,338,104,84
372,14,3,216,75,26,92,28,175,23
373,10,0,40,35,3,21,0,33,7
374,4,0,22,0,4,4,20,54,26
375,7,1,23,42,7,39,3,21,2
376,1,37,11,0,3,14,4,27,11
377,12,0,56,8,15,77,0,9,6
378,7,0,12,0,0,2,7,74,2
379,11,0,34,4,1,66,0,49,5
380,0,1,3,0,76,27,67,23,7
381,0,50,9,3,0,25,0,9,4
382,7,9,3,3,62,18,8,7,12
383,5,15,17,2,23,8,25,32,29
384,12,5,378,40,27,212,103,221,105
385,2,0,6,1,3,13,1,64,7
386,3,32,94,2,10,120,66,73,9
387,6,4,36,19,4,7,0,35,4
388,5,2,24,12,18,53,0,13,6
389,1,6,38,11,13,15,1,5,12
390,19,23,36,35,15,167,55,53,9
391,2,2,10,3,14,21,42,10,35
392,1,3,34,7,6,25,5,13,7
393,5,0,43,2,3,0,0,61,0
394,3,1,26,21,2,5,0,13,29
395,3,0,9,9,7,32,20,17,7
396,4,4,39,5,169,37,2,18,31
397,3,22,43,6,3,32,0,26,63
398,18,55,41,24,33,30,13,34,25
399,5,0,30,3,1,14,3,53,3
400,8,2,34,20,4,17,3,6,6
401,11,1,32,94,6,4,0,5,3
402,1,3,12,0,0,48,0,11,88
403,1,0,41,7,6,18,2,25,12
404,9,3,4,3,19,27,157,20,77
405,7,1,49,25,4,6,4,22,17
406,8,15,24,40,11,5,1,28,3
407,7,0,53,22,10,4,6,14,17
408,0,1,62,7,1,38,3,7,51
409,10,1,37,7,4,26,2,49,4
410,3,1,62,17,3,0,0,15,3
411,7,12,39,9,6,12,2,11,34
412,5,1,67,6,7,16,0,31,49
413,9,5,71,70,5,1,1,11,2
414,28,2,16,28,4,6,0,17,9
415,8,1,48,42,12,0,0,24,2
416,15,3,57,33,3,7,5,8,3
417,12,3,44,54,5,5,1,65,23
418,7,0,47,26,5,6,3,4,1
419,5,7,5,4,7,95,2,21,23
420,10,0,33,15,1,29,0,16,2
421,6,3,28,38,3,7,0,10,5
422,16,34,61,1,257,62,88,47,147
423,9,3,39,9,10,29,2,10,10
424,7,1,54,19,9,14,2,15,16
425,181,0,31,11,0,14,0,103,0
426,1,1,31,6,13,4,28,13,3
427,8,0,68,37,2,19,0,21,2
428,3,4,26,15,5,60,30,18,15
429,3,59,19,0,3,5,57,5,23
430,1,4,35,7,2,3,35,49,18
431,8,2,70,31,4,23,4,45,13
432,1,219,8,0,12,3,118,12,38
433,4,3,26,4,11,29,5,16,33
434,0,16,34,9,3,13,2,30,27
435,6,6,23,3,24,14,1,19,102
436,2,5,42,13,2,0,1,35,3
437,3,0,60,20,2,3,0,19,1
438,1,0,116,3,17,97,1,18,17
439,10,2,82,0,54,36,210,150,63
440,10,1,52,47,9,93,99,106,276
441,7,3,19,3,65,2,0,3,66
442,2,7,12,45,6,11,5,18,8
443,12,4,93,117,58,223,11,39,166
444,10,28,37,2,7,29,98,40,59
445,146,40,331,6,22,27,33,150,193
446,13,0,4,2,9,40,0,13,39
447,1,0,39,1,4,10,0,39,55
448,2,28,79,3,37,43,53,116,247
449,7,10,34,4,17,15,0,19,3
450,17,8,51,9,3,13,7,34,34
451,0,0,19,1,21,4,16,13,23
452,1,0,33,0,1,19,2,62,9
453,0,53,6,1,0,4,0,7,40
454,9,4,34,15,19,5,2,52,20
455,8,2,37,30,1,4,1,10,15
456,3,0,58,16,2,29,0,56,22
457,2,2,10,56,1,11,0,32,7
458,6,38,116,21,164,79,63,157,243
459,5,82,11,0,22,17,2,9,3
460,3,4,48,24,12,17,11,19,12
461,7,2,104,24,5,20,87,85,21
462,5,2,56,13,1,6,1,23,4
463,2,2,30,47,7,20,39,1,11
464,3,6,67,10,21,25,1,28,4
465,2,0,69,16,6,38,0,65,13
466,5,1,41,9,1,3,0,30,9
467,1,0,11,0,12,13,16,11,50
468,3,31,41,65,33,8,11,64,15
469,4,9,37,6,8,3,2,11,23
470,4,16,83,0,0,5,0,83,1
471,5,0,30,3,96,43,4,53,8
472,8,2,55,3,20,81,141,39,125
473,5,47,14,5,0,3,0,3,41
474,12,1,39,9,54,13,71,45,142
475,11,0,75,20,27,50,0,50,7
476,15,1,18,44,14,9,2,25,16
477,1,0,59,2,7,0,0,49,0
478,4,1,25,1,38,40,0,51,10
479,2,27,34,28,12,18,13,21,20
480,11,1,58,22,67,56,10,22,19
481,3,2,37,3,51,113,42,64,16
482,26,27,58,7,14,41,0,17,25
483,4,0,9,3,5,14,30,7,32
484,4,1,73,9,35,33,88,103,371
485,2,0,18,10,17,33,27,7,6
486,7,1,22,27,1,45,0,10,4
487,1,1,20,49,13,19,17,22,19
488,1,1,82,4,67,92,9,123,86
489,2,11,9,0,46,30,2,7,10
490,3,1,59,3,6,0,0,34,3
491,10,1,48,42,1,0,3,4,0
492,22,1,76,12,13,113,0,44,128
493,31,3,33,17,27,9,68,54,23
494,2,5,4,0,18,27,0,9,52
495,4,5,54,3,38,10,56,39,138
496,1,8,21,49,11,1,0,48,3
497,5,0,44,1,20,9,0,48,21
498,8,3,42,5,17,5,43,16,94
499,11,1,23,34,3,14,6,9,4
500,2,0,35,15,5,34,0,19,20
501,7,2,52,20,6,16,0,26,4
502,1,0,25,8,4,24,0,5,62
503,9,10,52,23,6,39,0,75,1
504,2,1,83,7,1,18,0,62,4
505,2,1,13,2,14,34,14,6,52
506,38,0,47,7,55,40,1,18,5
507,2,2,23,1,39,18,38,39,48
508,1,1,8,4,7,0,62,13,3
509,5,12,34,26,16,22,34,65,15
510,4,10,59,21,30,6,1,27,22
511,1,3,16,1,67,0,0,3,40
512,0,10,22,0,3,37,104,111,28
513,4,1,32,17,22,15,0,40,1
514,2,3,18,3,50,3,0,9,49
515,55,8,45,81,32,11,1,41,12
516,5,0,40,42,3,17,35,16,5
517,21,16,56,5,17,22,3,20,29
518,13,1,74,26,2,83,106,33,10
519,4,5,89,34,70,80,71,93,36
520,4,2,19,25,14,25,26,8,2
521,7,0,83,5,263,82,12,106,230
522,1,2,23,1,8,5,0,64,3
523,3,0,37,13,6,46,1,79,7
524,8,0,43,35,4,12,1,6,1
525,2,9,27,0,13,4,95,32,0
526,1,2,67,26,7,5,17,48,14
527,13,2,139,17,177,74,112,112,275
528,34,1,43,2,39,60,38,9,2
529,9,1,126,34,71,124,106,114,14
530,2,1,36,5,2,35,5,13,4
531,0,0,39,2,0,30,201,41,3
532,6,4,18,8,4,59,0,16,2
533,3,1,103,11,0,39,35,118,9
534,22,3,15,37,2,4,20,22,5
535,4,3,40,6,10,2,0,29,5
536,1,5,51,20,2,0,0,32,55
537,1,3,29,9,15,62,16,7,10
538,1,1,31,31,9,19,1,14,9
539,7,5,105,32,6,8,74,47,16
540,5,1,3,17,9,8,177,7,5
541,1,2,36,1,0,5,0,124,2
542,2,54,23,2,3,0,24,8,2
543,2,1,16,5,4,49,6,18,5
544,2,1,36,1,2,2,0,63,5
545,0,23,58,8,37,9,7,29,21
546,6,1,48,4,13,16,60,118,8
547,0,0,23,23,15,1,12,29,1
548,11,5,74,1,4,5,0,20,2
549,6,1,30,27,3,51,18,24,2
550,2,0,40,20,9,5,0,21,8
551,21,4,27,8,14,10,2,61,6
552,7,0,25,7,5,4,8,34,61
553,14,12,161,1,18,33,0,66,11
554,2,1,24,1,20,2,20,32,56
555,3,5,50,44,5,2,10,17,6
556,4,1,13,0,6,33,3,32,21
557,0,2,10,2,6,34,0,126,3
558,14,9,24,12,16,12,1,23,13
559,3,14,29,10,27,2,22,48,7
560,4,10,38,22,30,68,23,24,35
561,2,0,17,21,5,18,0,44,5
562,4,2,11,1,57,3,0,22,29
563,16,0,39,23,2,11,0,17,2
564,0,4,16,9,2,61,0,6,2
565,8,4,48,19,21,22,0,32,9
566,8,0,61,68,1,49,0,6,4
567,1,17,0,0,0,7,12,87,0
568,4,1,30,1,17,54,13,47,36
569,8,4,40,11,5,10,7,11,25
570,19,2,31,6,6,4,0,50,11
571,2,27,77,1,124,16,0,10,14
572,4,0,128,75,15,4,0,49,14
573,0,0,12,0,0,111,10,92,0
574,28,19,22,20,3,12,0,8,2
575,2,1,62,4,2,32,0,36,0
576,3,1,6,5,6,7,57,9,12
577,3,0,47,7,15,4,18,149,13
578,6,1,69,13,3,8,3,18,3
579,3,0,29,16,2,9,0,52,41
580,2,4,45,8,10,22,1,14,0
581,12,8,15,4,24,38,2,44,53
582,9,5,75,8,122,49,145,96,67
583,2,30,27,1,2,12,21,28,9
584,0,0,4,0,0,66,14,17,69
585,63,0,64,0,25,47,25,56,26
586,1,3,63,33,15,2,2,7,12
587,9,0,12,11,5,19,1,9,39
588,5,5,46,39,1,14,0,6,5
589,0,0,97,0,33,6,83,44,13
590,3,8,29,1,11,47,0,9,4
591,2,5,66,56,2,30,0,17,3
592,1,0,15,1,0,19,28,14,41
593,5,0,72,43,2,7,53,40,272
594,12,0,34,15,2,1,0,33,34
595,2,0,55,2,47,0,28,55,72
596,4,0,31,1,3,1,103,121,89
597,0,0,35,8,12,9,1,24,24
598,11,0,28,46,3,0,0,83,6
599,8,1,45,15,0,60,1,56,2
600,15,14,35,5,12,12,1,11,15
601,1,20,32,9,14,9,1,8,5
602,3,2,13,7,9,13,28,26,3
603,2,0,34,16,1,0,0,55,6
604,7,29,19,15,4,13,8,10,3
605,1,0,7,0,0,4,0,149,0
606,9,5,27,4,3,45,0,13,4
607,3,0,30,10,7,7,3,39,8
608,4,3,22,1,5,49,0,50,13
609,16,2,39,18,12,3,17,25,55
610,3,3,36,19,4,13,3,9,5
611,11,41,22,6,1,1,0,74,3
612,2,0,44,30,11,3,10,70,34
613,2,0,13,13,7,30,1,31,4
614,4,0,48,43,2,0,0,15,9
615,14,0,44,3,86,0,2,13,2
616,11,6,56,25,10,50,29,50,19
617,7,24,58,15,21,4,114,66,56
618,25,12,80,1,24,16,0,8,7
619,1,3,19,1,45,21,39,16,46
620,5,2,38,1,50,32,21,21,5
621,9,70,68,3,77,55,99,120,39
622,1,3,15,17,1,21,18,19,7
623,3,3,88,42,8,58,0,6,37
624,6,10,64,4,4,33,0,78,42
625,8,21,23,11,8,3,1,22,8
626,2,0,14,3,3,56,38,40,90
627,1,0,10,13,17,2,5,52,10
628,2,12,153,1,0,18,65,138,3
629,10,2,70,25,10,0,0,24,5
630,2,0,31,2,23,17,0,32,16
631,0,0,16,0,2,31,0,75,0
632,1,37,23,10,6,56,0,4,17
633,7,46,36,31,20,3,10,36,3
634,4,2,40,7,7,9,0,41,30
635,18,23,16,0,105,36,71,46,147
636,4,2,37,45,10,2,3,3,10
637,8,2,33,30,11,8,10,26,5
638,4,0,73,28,9,4,0,105,151
639,19,3,59,13,11,2,0,61,6
640,7,0,97,31,6,5,0,22,8
641,14,0,33,1,13,8,5,12,97
642,1,2,112,2,14,90,28,34,15
643,8,1,25,0,13,26,136,76,3
644,0,11,40,15,6,35,0,3,12
645,6,32,54,45,11,99,1,72,11
646,11,67,115,25,11,33,68,22,16
647,4,0,10,2,116,61,1,10,88
648,4,2,17,1,6,41,24,5,2
649,23,65,75,31,14,3,2,8,5
650,13,15,35,2,1,2,0,10,35
651,4,5,33,14,2,11,29,13,7
652,3,7,87,115,6,9,80,130,7
653,4,1,49,29,0,8,1,9,1
654,11,10,75,0,2,32,25,36,2
655,0,4,18,0,11,30,1,3,57
656,3,8,10,0,4,29,28,30,13
657,9,3,31,53,15,52,70,20,23
658,5,15,12,1,3,32,12,14,57
659,6,46,52,81,11,3,4,7,19
660,55,42,35,88,21,36,29,20,13
661,1,0,12,0,7,32,114,14,5
662,1,0,181,12,8,23,28,48,8
663,6,0,10,0,5,46,16,15,16
664,13,2,25,28,28,15,66,32,205
665,93,13,84,36,78,11,0,52,5
666,12,12,60,11,2,0,0,16,2
667,0,0,3,10,13,4,66,11,101
668,5,8,29,5,13,16,0,11,12
669,6,6,76,3,0,2,0,22,3
670,1,0,13,1,3,14,65,22,16
671,4,0,8,6,46,0,1,13,20
672,7,0,27,2,1,1,25,113,3
673,1,6,24,0,24,93,123,151,5
674,7,12,47,30,1,3,1,14,7
675,9,7,96,6,1,6,0,39,2
676,8,0,76,14,9,9,0,23,8
677,8,11,32,1,9,20,44,25,3
678,0,13,13,3,1,21,40,14,1
679,4,28,6,21,4,21,18,10,0
680,3,3,49,7,1,1,0,49,4
681,5,2,32,41,5,2,0,21,5
682,10,3,66,38,36,33,83,9,15
683,5,1,14,30,7,17,2,5,19
684,6,0,31,1,7,7,0,92,9
685,9,0,32,52,1,9,1,20,11
686,9,1,43,17,0,24,0,8,10
687,11,5,35,1,14,34,32,25,70
688,3,1,78,37,0,24,0,190,21
689,67,0,88,166,0,0,0,83,372
690,0,0,61,1,0,6,0,55,4
691,14,6,28,12,59,30,2,44,53
692,9,2,60,37,3,15,7,17,5
693,0,0,43,2,30,11,10,35,3
